0,1
nibrs_crime_category_PUBLIC INTOXICATION,0.45591044425964355
nibrs_crime_category_DRUG/ NARCOTIC VIOLATIONS,0.2162000983953476
nibrs_crime_category_ALL OTHER OFFENSES,0.054971110075712204
nibrs_crime_category_BURGLARY/ BREAKING & ENTERING,0.0448068305850029
nibrs_crime_category_LARCENY/ THEFT OFFENSES,0.04238094389438629
nibrs_crime_category_ASSAULT OFFENSES,0.026092156767845154
nibrs_crime_category_MISCELLANEOUS,0.024852164089679718
nibrs_crime_category_MOTOR VEHICLE THEFT,0.011325178667902946
nibrs_crime_category_DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0.01101816538721323
nibrs_crime_category_TRAFFIC VIOLATION - HAZARDOUS,0.010455025359988213
nibrs_crime_category_ROBBERY,0.00954734068363905
division_Central,0.008792833425104618
district_D11,0.006364444270730019
watch,0.003619706491008401
district_D13,0.0034544041845947504
latitude,0.0034533818252384663
district_D14,0.0034384888131171465
district_D2,0.0033735521137714386
district_D9,0.0033311431761831045
hour,0.0031808181665837765
division_SouthWest,0.003023062366992235
day1_Sun,0.0029991648625582457
district_D6,0.002922381041571498
division_NorthWest,0.002847644267603755
division_SouthEast,0.0027641132473945618
district_D7,0.0027194067370146513
district_D12,0.0026737062726169825
division_NorthCentral,0.0026478730142116547
day1_Wed,0.0025523940566927195
day1_Fri,0.0025037527084350586
division_NorthEast,0.002484687836840749
district_D3,0.002463587326928973
division_SouthCentral,0.002336721634492278
district_D1,0.002220219699665904
district_D10,0.0022065811790525913
day1_Mon,0.002182567259296775
day1_Sat,0.0021798014640808105
district_D4,0.0020519045647233725
day1_Tue,0.002026205649599433
day1_Thu,0.0020151331555098295
district_D5,0.0018572559347376227
district_D8,0.0017535589868202806
